That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
Oh. Yes, do you like it? It's imported.	Oh. Yes, do you like it? It's imported.
Vulgar displays of pulchritude do not impress me, Pharkas.	Vulgar displays of pulchritude do not impress me, Pharkas.
(UNDER BREATH) |c2|You're no saint, you no-account rear!|c|	(UNDER BREATH) |c2|You're no saint, you no-account rear!|c|
Pardonne moi?	Pardonne moi?
I merely say, "I ain't got no account here!"	I merely say, "I ain't got no account here!"
Oh. Well, whose fault is that?	Oh. Well, whose fault is that?
I find your wax utterly irrelevant.	I find your wax utterly irrelevant.
(SOTTO VOCE) |c1|Yeah, and I find YOU utterly an elephant!|c|	(SOTTO VOCE) |c1|Yeah, and I find YOU utterly an elephant!|c|
I'm sorry? Please repeat that, I missed it.	I'm sorry? Please repeat that, I missed it.
I said, "I think you are a hell of a gent."	I said, "I think you are a hell of a gent."
Oh. Yes!	Oh. Yes!
What damage do you think you're going to do with that little penknife? Just remember, Pharkas, I've got friends in this town. Powerful friends. Not like your flea-bitten pals. So don't threaten me. Your day will come. And soon, too, I guarantee you.	What damage do you think you're going to do with that little penknife? Just remember, Pharkas, I've got friends in this town. Powerful friends. Not like your flea-bitten pals. So don't threaten me. Your day will come. And soon, too, I guarantee you.
You hand the safe-deposit key to P.H. Balance.	You hand the safe-deposit key to P.H. Balance.
It'll be ready Tuesday. OH! I mean, allow me to fetch your safe-deposit box for you immediately.	It'll be ready Tuesday. OH! I mean, allow me to fetch your safe-deposit box for you immediately.
You level your pistol at the Banker.	You level your pistol at the Banker.
You try it, Pharkas, and you'll wind up hanging from the tallest limb in town. The Sheriff and I are keeping our eyes on you. One wrong move, and you're history.	You try it, Pharkas, and you'll wind up hanging from the tallest limb in town. The Sheriff and I are keeping our eyes on you. One wrong move, and you're history.
You lower your pistol. You hate to admit it, but he's right; you'd never get away with shooting him in cold blood.	You lower your pistol. You hate to admit it, but he's right; you'd never get away with shooting him in cold blood.
Don't try to bribe me with pie, Pharkas. I'm not some backwoods hick like some of the folks in this one-horse town.	Don't try to bribe me with pie, Pharkas. I'm not some backwoods hick like some of the folks in this one-horse town.
Thank you, Pharkas, but no thank you. I prefer a more cultured beverage, specifically, tea.	Thank you, Pharkas, but no thank you. I prefer a more cultured beverage, specifically, tea.
(UNDER BREATH) |c1|I hope you choke on your tea!|c|	(UNDER BREATH) |c1|I hope you choke on your tea!|c|
What did you say, Pharkas?	What did you say, Pharkas?
I said, "I guess the joke is on me!"	I said, "I guess the joke is on me!"
Oh! Yes, I suppose it is, isn't it?	Oh! Yes, I suppose it is, isn't it?
What am I supposed to do with this? It's not bankable. Take it away.	What am I supposed to do with this? It's not bankable. Take it away.
(QUIETLY) |c1|You've got your nerve, you dirtpile.|c|	(QUIETLY) |c1|You've got your nerve, you dirtpile.|c|
Huh? What was that?	Huh? What was that?
I said, "You've got verve and earthy style."	I said, "You've got verve and earthy style."
Oh! That is so!	Oh! That is so!
I do not accept these as currency. In fact, I prefer not to have them in my bank! Please remove them forthwith or I shall have to remove them myself.	I do not accept these as currency. In fact, I prefer not to have them in my bank! Please remove them forthwith or I shall have to remove them myself.
(UNDER BREATH) |c1|Any stinkin' day, you dried-up horse.|c|	(UNDER BREATH) |c1|Any stinkin' day, you dried-up horse.|c|
Pardon me? Come again?	Pardon me? Come again?
I said, "Anything you say. You're right, of course."	I said, "Anything you say. You're right, of course."
Oh! Well, of course I am.	Oh! Well, of course I am.
I'm sure this silver is not investment-grade. Nice try, Pharkas. But hang onto it. It probably has great sentimental value. (SNICKER)	I'm sure this silver is not investment-grade. Nice try, Pharkas. But hang onto it. It probably has great sentimental value. (SNICKER)
It's an interesting trinket, but hardly worth my time. Take it back, Pharkas.	It's an interesting trinket, but hardly worth my time. Take it back, Pharkas.
That suit is clearly meant for somebody much scrawnier and less robust than me. Take it away.	That suit is clearly meant for somebody much scrawnier and less robust than me. Take it away.
(UNDER BREATH) |c1|One of these days... bang, zoom!|c|	(UNDER BREATH) |c1|One of these days... bang, zoom!|c|
Oh, I just said, "One of these days, banking boom!"	Oh, I just said, "One of these days, banking boom!"
Oh! I certainly hope so.	Oh! I certainly hope so.
It'll be ready on Tuesday, Pharkas. Hehe... just making a funny. This isn't redeemable here.	It'll be ready on Tuesday, Pharkas. Hehe... just making a funny. This isn't redeemable here.
Take those smelly old things away, or I shall be forced to remove you bodily from this bank!	Take those smelly old things away, or I shall be forced to remove you bodily from this bank!
(SOTTO VOCE) |c1|Yeah, you think so? You'd be sorry.|c|	(SOTTO VOCE) |c1|Yeah, you think so? You'd be sorry.|c|
I'm sorry, what did you just say?	I'm sorry, what did you just say?
I said, "Yeah, they stink like calamari."	I said, "Yeah, they stink like calamari."
Oh! Yes, exactly.	Oh! Yes, exactly.
I don't want your smelly old neckerchief! Wrap it around your scrawny li'l chicken gullet or something.	I don't want your smelly old neckerchief! Wrap it around your scrawny li'l chicken gullet or something.
(UNDER BREATH) |c1|I sure can't believe you smell so rank!|c|	(UNDER BREATH) |c1|I sure can't believe you smell so rank!|c|
What was that, Pharkas?	What was that, Pharkas?
I said, "You sure have achieved a swell bank."	I said, "You sure have achieved a swell bank."
Oh! Why, thank you. I'm proud of it.	Oh! Why, thank you. I'm proud of it.
Ah, yes, a letter from your worthless crony Mr. Graves. A shame he had to die.	Ah, yes, a letter from your worthless crony Mr. Graves. A shame he had to die.
Taking up digging, are we? Couldn't make a go of that pharmacy, eh? I'm not surprised. You haven't demonstrated much business sense.	Taking up digging, are we? Couldn't make a go of that pharmacy, eh? I'm not surprised. You haven't demonstrated much business sense.
(UNDER BREATH) |c1|I'd like to dig a grave for YOU.|c|	(UNDER BREATH) |c1|I'd like to dig a grave for YOU.|c|
Speak up, Pharkas, I can hardly hear you.	Speak up, Pharkas, I can hardly hear you.
I said, "I'd like to invest my savings with you!"	I said, "I'd like to invest my savings with you!"
Oh. I'm sure we can arrange something at a later date.	Oh. I'm sure we can arrange something at a later date.
What is this, your lunch? Take it away, Pharkas, I'm watching my weight.	What is this, your lunch? Take it away, Pharkas, I'm watching my weight.
I don't require a bag for anything. Goodbye.	I don't require a bag for anything. Goodbye.
(SHOUTING) Remove that filth from my bank at once, do you hear? And while you're at it, remove yourself, too!	(SHOUTING) Remove that filth from my bank at once, do you hear? And while you're at it, remove yourself, too!
I don't appreciate you throwing clay around my bank, Pharkas! Please remove it from the vicinity immediately.	I don't appreciate you throwing clay around my bank, Pharkas! Please remove it from the vicinity immediately.
(UNDER BREATH) |c1|You're asking for it, dude.|c|	(UNDER BREATH) |c1|You're asking for it, dude.|c|
What was that?	What was that?
I said, "As you asked, I was so rude."	I said, "As you asked, I was so rude."
Oh! Yes, that is correct!	Oh! Yes, that is correct!
I do not recall asking you to provide me with your phony nostrums and fraudulent potions. In fact, I believe that's what I'll call you: Freddy Pharkas, Fraudulent Phony! Heh heh!	I do not recall asking you to provide me with your phony nostrums and fraudulent potions. In fact, I believe that's what I'll call you: Freddy Pharkas, Fraudulent Phony! Heh heh!
I'm all done now.	I'm all done now.
Thank you for using the Bank of Bob.	Thank you for using the Bank of Bob.
You see the green flocked wallpaper, rough-hewn wood floor, and tinned tile ceiling of The Bank of Bob, Coarsegold's first (and probably last!) financial institution.	You see the green flocked wallpaper, rough-hewn wood floor, and tinned tile ceiling of The Bank of Bob, Coarsegold's first (and probably last!) financial institution.
